Номер,Название,Формат,Уровень,Зависимости
1,Алгоритмы.1,Ф,0,
2,С++.1,Ф,0,
5,Распреды.1,Ф,0,
6,Машинка.1,Ф,0,
8,Дискра.1,Ф,0,
9,Матан.1,Ф,0,
10,Линал.1,Ф,0,
11,Теорвер.1,Ф,0,
12,Матстаты.1,Ф,0,
13,Слупы.1,Ф,0,
15,Формальные языки,Ф,0,
62,Python,Ф,0,
3,Java.1,К,1,
7,Linux.1,К,1,
14,.NET.1,К,1,
16,Objective C / Swift,СР,1,
18,VCS,З,1,
19,Создание UI,З,1,
20,Паттерны пр-ия.1,К,1,
21,Базы данных.1,К,1,
22,Highload.1,З,1,
25,R,СР,1,
26,Алгоритмы.2,К,2,"1, 2/3"
27,С++.2,СР,2,2
28,Java.2,К,2,3
31,Машинка.2,Ф к./в.,2,"6, 11, 12, 62"
32,Комп. графика,Ф/СР,2,"2, 10"
34,Компиляторы,З,2,15
35,.NET.2,К,2,14
36,Android,К,2,3
37,iOS,К,2,16
39,Системы сборки,З,2,7
40,Тестирование,З,2,2/3
41,Базы данных.2,К,2,21
42,Highload.2,К,2,22
43,Linux.2,К,2,7
44,Python,К,2,62
45,Теория решеток,Ф к./в.,2,"6, 8, 11"
46,Agile,З,2,18
47,Паттерны пр-ия.2,К,2,20
17,Промышленное пр.,К,2,"7, 18"
63,ReactJS ,К,2,
65,Scala,К,2,3
48,Мобильная разработка,Практика,3,"19, 36/37"
49,Инф. безопасность,К,3,43
50,Сети,К,3,43
51,Анализ изображений,К,3,"31, 2, 44"
52,Анализ текстов,К,3,"31, 44"
53,Архитектура.1,К,3,"47, 39, 40, 5/22"
54,Командная разработка,Практика,3,"46, 39, 40"
61,Веб-разработка,Практика,3,"19, 21, 28/35/44/63"
64,Основы Data Engineering'а и ML на больших данных (старое название - ML в Spark),К,3,6
66,Hadoop,К,3,22
67,DevOps,К,3,17
55,Нейросети,К,4,"51, 52"
56,Архитектура.2,К,4,53
57,Клиентские приложения,Практика,4,"53, 19"
58,Серверные приложения,Практика,4,"53, 50"
59,Экосистемы приложений ,Практика,5,"48/57, 58"
60,Архитектура. Best Practice,З,5,56